agreement,year,provisionNum,topic,provisionText
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Here on mother earth, there were gifts given to the Anishinaabe to look after, fire, water, earth and wind."
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",Debenjiged gii miinaan gechtwaa wendaagog Anishinaaben waa naagdoonjin ninda niizhwaaswi kino maadwinan.
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",The Creator also gave the Anishinaabe seven sacred gifts to guide them.
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",They are:
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Zaagidwin, Debwewin, Mnaadendmowin, Nbwaakaawin, Dbaadendiziwin, Gwekwaadziwin miinwa Aakedhewin."
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Love, Truth, Respect, Wisdom, Humility, Honesty and Bravery."
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",Debenjiged kiimiingona dedbinwe wi naagdowendiwin.
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",Creator gave us sovereignty to govern ourselves.
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Ka mnaadendanaa gaabi zhiwebag miinwaa nango megwaa ezhwebag, miinwa geyaabi waa ni zhiwebag."
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","We respect and honour the past, present and future."
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Whereas the First Nations assert that, together as aboriginal peoples of the Ojibway, Chippewa, Odawa, Pottowatomi, Algonquin, Nipissing, Delaware and Mississauga Tribal Nations who share a sense of aboriginal identity and spirituality and are united through historic origin, values, language, traditions and culture, they are among the First Nations comprising the Anishinabek Nation"
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Whereas the First Nations assert that their Tribal Nations maintained self-sufficient governments with sustainable economies, distinctive languages, powerful spirituality and diverse cultures within a defined territory which pre-existed the establishment of Canada and that these Tribal Nations continue to exist"
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",Whereas the First Nations assert that they have a sacred duty to ensure the well-being of the people to the Seventh Generation and that it is incumbent upon the leadership of the First Nations to ensure this sacred duty is honoured
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Whereas the special and historic relationship between aboriginal peoples and Canada is evidenced by, among other things, the treaties and this relationship continues and it is recognized in the Constitution of Canada"
